chunk_id,source,title,h1,h2,h3,num_chars,num_words,preview
14,02_acne_diet.md,Диета при акне (Anti-acne протокол),Диета при акне (Anti-acne протокол),Связь питания и высыпаний,,371,38,"# Диета при акне (Anti-acne протокол) #диета_при_акне, #антиакне_протокол, #молочка_и_акне, #гликемический_индекс, #проб"
15,02_acne_diet.md,Диета при акне (Anti-acne протокол),Диета при акне (Anti-acne протокол),Связь питания и высыпаний,"Продукты, которые необходимо исключить/ограничить",747,97,"### Продукты, которые необходимо исключить/ограничить 1. **Цельное коровье молоко:** - Содержит сывороточные белки и гор"
16,02_acne_diet.md,Диета при акне (Anti-acne протокол),Диета при акне (Anti-acne протокол),Связь питания и высыпаний,"Продукты, которые помогают в борьбе с акне",338,40,"### Продукты, которые помогают в борьбе с акне - **Клетчатка (зелень, овощи, отруби):** Нормализует микробиом кишечника,"
17,02_acne_diet.md,Диета при акне (Anti-acne протокол),Диета при акне (Anti-acne протокол),Связь питания и высыпаний,Рекомендации,299,42,"### Рекомендации - Ведение пищевого дневника: помогает отследить индивидуальную реакцию на продукты (например, у некотор"
18,01_cleansing.md,Очищение кожи: демакияж и умывание,Очищение кожи: демакияж и умывание,Этапы и принципы очищения кожи,,360,44,"# Очищение кожи: демакияж и умывание #очищение_кожи, #демакияж, #двухэтапное_очищение, #гидрофильное_масло, #умывание   "
19,01_cleansing.md,Очищение кожи: демакияж и умывание,Очищение кожи: демакияж и умывание,Этапы и принципы очищения кожи,Двухэтапное очищение,684,86,"### Двухэтапное очищение Система, состоящая из двух шагов, особенно актуальная при использовании стойкого макияжа и SPF-"
20,01_cleansing.md,Очищение кожи: демакияж и умывание,Очищение кожи: демакияж и умывание,Этапы и принципы очищения кожи,Выбор средства для второго этапа по типу кожи,305,38,"### Выбор средства для второго этапа по типу кожи - **Жирная/комбинированная:** Гели с салициловой кислотой (BHA), цинко"
21,01_cleansing.md,Очищение кожи: демакияж и умывание,Очищение кожи: демакияж и умывание,Этапы и принципы очищения кожи,Ошибки при очищении,514,66,"### Ошибки при очищении - **Очищение «до скрипа»:** Использование агрессивных ПАВ (например, SLS) или обычного мыла разр"
22,02_toning.md,"Тонизирование — тоник, тонер и эссенция","Тонизирование: Тоник, Тонер и Эссенция",1. Тоник,,786,102,"# Тонизирование: Тоник, Тонер и Эссенция   ## 1. Тоник   Жидкое средство (как вода), которое наносится после умывания и "
23,02_toning.md,"Тонизирование — тоник, тонер и эссенция","Тонизирование: Тоник, Тонер и Эссенция",2. Тонер,,589,74,"## 2. Тонер   Концепция из корейской системы ухода. Жидкий увлажнитель, имеет чуть более плотную текстуру, чем тоник.   "
24,02_toning.md,"Тонизирование — тоник, тонер и эссенция","Тонизирование: Тоник, Тонер и Эссенция",3. Эссенция,,621,78,## 3. Эссенция   Промежуточный этап между тонером и сывороткой. Текстура плотнее тонера.   * **Функции:** Усиленное увла
25,03_moisturizing.md,Увлажнение кожи: кремы и сыворотки,Увлажнение кожи: кремы и сыворотки,Механизмы увлажнения,,316,36,"# Увлажнение кожи: кремы и сыворотки #увлажняющий_крем, #хумектанты, #эмоленты, #окклюзивы, #липидный_барьер   ## Механи"
26,03_moisturizing.md,Увлажнение кожи: кремы и сыворотки,Увлажнение кожи: кремы и сыворотки,Механизмы увлажнения,Три столпа увлажнения,708,86,### Три столпа увлажнения 1. **Хумектанты (влагоудерживатели):** Притягивают молекулы воды из окружающей среды (или из г
27,03_moisturizing.md,Увлажнение кожи: кремы и сыворотки,Увлажнение кожи: кремы и сыворотки,Механизмы увлажнения,Выбор текстуры по типу кожи,378,48,"### Выбор текстуры по типу кожи - **Жирная кожа:** Гели, эмульсии, флюиды (высокое содержание хумектантов, минимум окклю"
28,03_moisturizing.md,Увлажнение кожи: кремы и сыворотки,Увлажнение кожи: кремы и сыворотки,Механизмы увлажнения,Ошибки при увлажнении,429,61,### Ошибки при увлажнении - **Отказ от крема при жирной коже:** Приводит к обезвоживанию; сальные железы начинают выраба
29,04_spf_protection.md,Защита от солнца (SPF),Защита от солнца (SPF),Правила использования солнцезащитных средств,,253,30,# Защита от солнца (SPF)   ## Правила использования солнцезащитных средств SPF (Sun Protection Factor) защищает кожу от 
30,04_spf_protection.md,Защита от солнца (SPF),Защита от солнца (SPF),Правила использования солнцезащитных средств,Типы ультрафиолетовых лучей,409,55,"### Типы ультрафиолетовых лучей - **UVB-лучи:** Воздействуют на эпидермис, вызывают солнечные ожоги. Их интенсивность за"
31,04_spf_protection.md,Защита от солнца (SPF),Защита от солнца (SPF),Правила использования солнцезащитных средств,Типы SPF-фильтров,580,77,"### Типы SPF-фильтров 1. **Физические (минеральные):** Диоксид титана (Titanium Dioxide), оксид цинка (Zinc Oxide). - *О"
32,04_spf_protection.md,Защита от солнца (SPF),Защита от солнца (SPF),Правила использования солнцезащитных средств,Правила нанесения и смывания,693,102,### Правила нанесения и смывания - **Правило 2 пальцев:** Для полноценной защиты лица и шеи требуется около 1.2 – 2 мл с
33,01_retinol_and_derivatives.md,Ретинол и его производные,Ретинол и его производные (Ретиноиды),Что такое ретинол и как он работает,,639,86,# Ретинол и его производные (Ретиноиды)   ## Что такое ретинол и как он работает   Ретинол --- одна из форм витамина А. 
34,01_retinol_and_derivatives.md,Ретинол и его производные,Ретинол и его производные (Ретиноиды),Правила ввода ретинола в уход (Лестница ретинола),,460,58,## Правила ввода ретинола в уход (Лестница ретинола)   1. **Частота применения:** Начинать с 1--2 раз в неделю. Постепен
35,01_retinol_and_derivatives.md,Ретинол и его производные,Ретинол и его производные (Ретиноиды),Выбор концентрации и формы,,314,41,"## Выбор концентрации и формы   * **До 0,3%:** Самое мягкое воздействие. Подходит для новичков. * **0,7% и выше:** Для р"
36,01_retinol_and_derivatives.md,Ретинол и его производные,Ретинол и его производные (Ретиноиды),Метод «Ретиноловый сэндвич» (Retinoid Sandwich Method),,609,71,## Метод «Ретиноловый сэндвич» (Retinoid Sandwich Method)   Метод нанесения ретинола для минимизации раздражения. Идеаль
37,02_vitamin_c.md,Витамин C в косметике,Витамин C в косметике,Механизм действия и функции,,155,24,# Витамин C в косметике   ## Механизм действия и функции Витамин С (аскорбиновая кислота) — один из самых мощных и изуче
38,02_vitamin_c.md,Витамин C в косметике,Витамин C в косметике,Механизм действия и функции,Основные эффекты,507,55,"### Основные эффекты - **Антиоксидантная защита:** Нейтрализует свободные радикалы, предотвращая разрушение клеток под в"
39,02_vitamin_c.md,Витамин C в косметике,Витамин C в косметике,Формы витамина C,,106,15,"## Формы витамина C Эффективность средства напрямую зависит от формы витамина, указанной в составе (INCI)."
40,02_vitamin_c.md,Витамин C в косметике,Витамин C в косметике,Формы витамина C,Кислая (нестабильная) форма,330,48,### Кислая (нестабильная) форма - **Ascorbic Acid / L-Ascorbic Acid (Чистая аскорбиновая кислота):** - Самая мощная форм
41,02_vitamin_c.md,Витамин C в косметике,Витамин C в косметике,Формы витамина C,Стабильные производные (мягкие формы),462,60,### Стабильные производные (мягкие формы) - **Sodium Ascorbyl Phosphate (SAP) / Magnesium Ascorbyl Phosphate (MAP):** От
42,02_vitamin_c.md,Витамин C в косметике,Витамин C в косметике,Правила применения и ошибки,,548,73,"## Правила применения и ошибки - **Время суток:** Оптимально использовать утром (под крем с SPF), чтобы усилить фотозащи"
43,03_aha_bha_acids.md,"Кислоты в уходе: AHA, BHA и PHA","Кислоты в уходе: AHA, BHA и PHA",AHA-кислоты (Альфа-гидроксикислоты),,206,25,"# Кислоты в уходе: AHA, BHA и PHA   ## AHA-кислоты (Альфа-гидроксикислоты) Водорастворимые (фруктовые) кислоты. Работают"
44,03_aha_bha_acids.md,"Кислоты в уходе: AHA, BHA и PHA","Кислоты в уходе: AHA, BHA и PHA",AHA-кислоты (Альфа-гидроксикислоты),Основные виды и их назначение,527,69,### Основные виды и их назначение - **Гликолевая кислота (Glycolic Acid):** Самая маленькая молекула. Проникает глубже в
45,03_aha_bha_acids.md,"Кислоты в уходе: AHA, BHA и PHA","Кислоты в уходе: AHA, BHA и PHA",BHA-кислоты (Бета-гидроксикислоты),,382,45,## BHA-кислоты (Бета-гидроксикислоты) Жирорастворимые кислоты. Способны проникать сквозь себум глубоко в поры. - **Салиц
46,03_aha_bha_acids.md,"Кислоты в уходе: AHA, BHA и PHA","Кислоты в уходе: AHA, BHA и PHA",PHA-кислоты (Полигидроксикислоты),,303,37,"## PHA-кислоты (Полигидроксикислоты) Новое поколение кислот (Глюконолактон / Gluconolactone, Лактобионовая кислота / Lac"
47,03_aha_bha_acids.md,"Кислоты в уходе: AHA, BHA и PHA","Кислоты в уходе: AHA, BHA и PHA",Правила использования и ошибки,,477,59,## Правила использования и ошибки - **Время суток:** Кислоты (особенно AHA) истончают роговой слой и повышают фоточувств
48,04_copper_peptides.md,Пептиды меди в косметике,Пептиды меди в косметике (Copper Peptides),Что такое пептиды меди,,413,57,"# Пептиды меди в косметике (Copper Peptides)   ## Что такое пептиды меди   Пептиды --- это аминокислоты, которые естеств"
49,04_copper_peptides.md,Пептиды меди в косметике,Пептиды меди в косметике (Copper Peptides),Свойства и доказанная эффективность,,384,50,## Свойства и доказанная эффективность   * Стимулируют выработку коллагена (доказано увеличивают синтез на 70% после мес
